generation,steps_per_gen,population_size,fitness_best,fitness_mean,fitness_median,fitness_std,fitness_iqr,food_eaten_total,food_eaten_mean,survival_steps_mean,reproductions_total,params_mean,params_median,params_best,params_std,layers_mean,hidden_mean,mutation_rate,mutation_sigma,crossover_rate,selection_mode,tournament_k,seed,run_id,config_hash,git_commit
0,161,100,160.0,112.49,100.0,17.336374,30.0,63,0.63,112.49,100,76.0,76.0,76,0.0,3.0,1.0,0.1,0.2,,Roulette,,1,1770935433-1,35bccafd9310219f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
1000,311,100,310.0,135.88,130.0,44.763,60.0,141,1.41,135.88,100,94.0,76.0,76,93.87247,3.05,1.05,0.1,0.2,,Roulette,,1,1770935433-1,35bccafd9310219f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
2000,502,100,501.0,166.89,136.0,84.27182,62.0,258,2.58,166.89,100,91.64,76.0,76,88.49222,3.04,1.04,0.1,0.2,,Roulette,,1,1770935433-1,35bccafd9310219f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
3000,810,100,809.0,187.79,131.0,129.57516,80.0,339,3.39,187.79,100,94.27,76.0,76,98.99436,3.06,1.06,0.1,0.2,,Roulette,,1,1770935433-1,35bccafd9310219f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
4000,626,100,625.0,176.41,155.5,99.80854,65.0,297,2.97,176.41,100,112.48,76.0,76,127.03096,3.09,1.09,0.1,0.2,,Roulette,,1,1770935433-1,35bccafd9310219f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
5000,698,100,697.0,227.58,190.0,131.82672,149.0,523,5.23,227.58,100,98.36,76.0,76,109.21205,3.05,1.05,0.1,0.2,,Roulette,,1,1770935433-1,35bccafd9310219f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
6000,633,100,632.0,189.81,159.0,102.96111,109.0,370,3.7,189.81,100,94.99,76.0,76,101.7071,3.05,1.05,0.1,0.2,,Roulette,,1,1770935433-1,35bccafd9310219f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
7000,864,100,863.0,186.98,160.0,108.263374,131.0,343,3.43,186.98,100,102.49,76.0,76,121.94875,3.05,1.05,0.1,0.2,,Roulette,,1,1770935433-1,35bccafd9310219f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
8000,1000,100,1054.0,211.38,169.0,132.81377,109.0,550,5.5,210.84,100,89.16,76.0,76,86.11535,3.03,1.03,0.1,0.2,,Roulette,,1,1770935433-1,35bccafd9310219f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
9000,1000,100,1035.0,244.98,160.0,204.19693,206.0,554,5.54,244.63,100,86.88,76.0,76,66.32937,3.04,1.04,0.1,0.2,,Roulette,,1,1770935433-1,35bccafd9310219f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
