generation,steps_per_gen,population_size,fitness_best,fitness_mean,fitness_median,fitness_std,fitness_iqr,food_eaten_total,food_eaten_mean,survival_steps_mean,reproductions_total,params_mean,params_median,params_best,params_std,layers_mean,hidden_mean,mutation_rate,mutation_sigma,crossover_rate,selection_mode,tournament_k,seed,run_id,config_hash,git_commit
0,191,100,190.0,113.83,100.0,19.218252,27.0,80,0.8,113.83,100,76.0,76.0,76,0.0,3.0,1.0,0.1,0.2,,Roulette,,50,1770989743-50,036b4a7e037fa26f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
1000,292,100,291.0,141.52,130.0,40.534542,61.0,172,1.72,141.52,100,525.32,499.0,499,261.4159,3.97,1.97,0.1,0.2,,Roulette,,50,1770989743-50,036b4a7e037fa26f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
2000,380,100,379.0,136.16,130.0,46.878296,60.0,156,1.56,136.16,100,577.73,499.0,499,392.33444,4.04,2.04,0.1,0.2,,Roulette,,50,1770989743-50,036b4a7e037fa26f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
3000,399,100,398.0,163.17,154.0,61.702038,63.0,252,2.52,163.17,100,515.18,499.0,499,215.42001,4.0,2.0,0.1,0.2,,Roulette,,50,1770989743-50,036b4a7e037fa26f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
4000,343,100,342.0,147.15,130.0,53.19388,63.0,201,2.01,147.15,100,531.57,499.0,499,316.34717,3.99,1.99,0.1,0.2,,Roulette,,50,1770989743-50,036b4a7e037fa26f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
5000,491,100,490.0,168.8,145.5,70.35609,67.0,277,2.77,168.8,100,501.35,499.0,499,87.77859,4.01,2.01,0.1,0.2,,Roulette,,50,1770989743-50,036b4a7e037fa26f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
6000,469,100,468.0,166.47,140.0,75.93199,100.0,278,2.78,166.47,100,525.51,499.0,499,182.29028,4.02,2.02,0.1,0.2,,Roulette,,50,1770989743-50,036b4a7e037fa26f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
7000,321,100,320.0,158.34,145.0,55.794487,75.0,244,2.44,158.34,100,510.32,499.0,499,203.83498,3.98,1.98,0.1,0.2,,Roulette,,50,1770989743-50,036b4a7e037fa26f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
8000,371,100,370.0,155.41,131.0,66.65435,71.0,226,2.26,155.41,100,501.72,499.0,499,103.22863,4.0,2.0,0.1,0.2,,Roulette,,50,1770989743-50,036b4a7e037fa26f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
9000,883,100,882.0,197.1,160.0,109.8425,124.0,410,4.1,197.1,100,530.03,499.0,499,291.43256,3.99,1.99,0.1,0.2,,Roulette,,50,1770989743-50,036b4a7e037fa26f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
