generation,steps_per_gen,population_size,fitness_best,fitness_mean,fitness_median,fitness_std,fitness_iqr,food_eaten_total,food_eaten_mean,survival_steps_mean,reproductions_total,params_mean,params_median,params_best,params_std,layers_mean,hidden_mean,mutation_rate,mutation_sigma,crossover_rate,selection_mode,tournament_k,seed,run_id,config_hash,git_commit
0,250,100,249.0,113.45,100.0,23.863935,29.0,71,0.71,113.45,100,76.0,76.0,76,0.0,3.0,1.0,0.1,0.2,,Roulette,,2,1770935436-2,d0a33f067c03ddc3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
1000,337,100,336.0,140.5,130.0,46.85136,60.0,172,1.72,140.5,100,102.13,76.0,76,121.19156,3.06,1.06,0.1,0.2,,Roulette,,2,1770935436-2,d0a33f067c03ddc3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
2000,382,100,381.0,157.28,146.0,58.412853,88.0,227,2.27,157.28,100,88.27,76.0,76,70.42348,3.04,1.04,0.1,0.2,,Roulette,,2,1770935436-2,d0a33f067c03ddc3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
3000,571,100,570.0,159.13,135.0,70.03722,84.0,255,2.55,159.13,100,82.82,76.0,76,70.69159,3.01,1.01,0.1,0.2,,Roulette,,2,1770935436-2,d0a33f067c03ddc3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
4000,822,100,821.0,219.0,160.0,151.31245,168.0,455,4.55,219.0,100,115.88,76.0,76,138.1938,3.1,1.1,0.1,0.2,,Roulette,,2,1770935436-2,d0a33f067c03ddc3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
5000,1000,100,1099.0,234.87,169.0,190.06346,125.0,508,5.08,233.46,100,84.15,76.0,76,62.75006,3.03,1.03,0.1,0.2,,Roulette,,2,1770935436-2,d0a33f067c03ddc3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
6000,1000,100,1036.0,217.02,160.0,152.55022,129.0,442,4.42,216.66,100,80.51,76.0,76,43.73294,3.02,1.02,0.1,0.2,,Roulette,,2,1770935436-2,d0a33f067c03ddc3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
7000,934,100,933.0,239.96,160.0,177.82066,194.0,515,5.15,239.96,100,97.27,76.0,76,100.86425,3.08,1.08,0.1,0.2,,Roulette,,2,1770935436-2,d0a33f067c03ddc3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
8000,1000,100,1080.0,273.95,187.5,200.98355,269.0,688,6.88,273.15,100,91.64,76.0,76,87.00012,3.05,1.05,0.1,0.2,,Roulette,,2,1770935436-2,d0a33f067c03ddc3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
9000,1000,100,1074.0,276.23,202.5,190.26598,250.0,642,6.42,275.49,100,86.66,76.0,76,77.075905,3.03,1.03,0.1,0.2,,Roulette,,2,1770935436-2,d0a33f067c03ddc3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
