generation,steps_per_gen,population_size,fitness_best,fitness_mean,fitness_median,fitness_std,fitness_iqr,food_eaten_total,food_eaten_mean,survival_steps_mean,reproductions_total,params_mean,params_median,params_best,params_std,layers_mean,hidden_mean,mutation_rate,mutation_sigma,crossover_rate,selection_mode,tournament_k,seed,run_id,config_hash,git_commit
0,250,100,249.0,113.45,100.0,23.863935,29.0,71,0.71,113.45,100,76.0,76.0,76,0.0,3.0,1.0,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
1000,272,100,271.0,133.23,130.0,37.414135,56.0,152,1.52,133.23,100,100.37,67.0,67,137.65112,3.08,1.08,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
2000,398,100,397.0,156.37,141.0,59.65713,90.0,225,2.25,156.37,100,73.95,67.0,67,56.06991,3.04,1.04,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
3000,421,100,420.0,179.53,152.5,84.89517,94.0,299,2.99,179.53,100,81.94,67.0,67,92.21701,3.03,1.03,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
4000,711,100,710.0,190.6,148.5,122.029106,106.0,359,3.59,190.6,100,83.38,67.0,67,94.564064,3.03,1.03,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
5000,557,100,556.0,171.45,153.5,82.35612,84.0,268,2.68,171.45,100,99.35,67.0,67,118.4841,3.08,1.08,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
6000,371,100,370.0,165.33,159.0,59.844303,67.0,263,2.63,165.33,100,99.08,67.0,67,128.80571,3.08,1.08,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
7000,403,100,402.0,182.44,160.0,75.308876,91.0,327,3.27,182.44,100,94.79,67.0,67,117.446724,3.08,1.08,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
8000,826,100,825.0,202.72,160.0,116.33641,106.0,389,3.89,202.72,100,77.03,67.0,67,77.40703,3.02,1.02,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
9000,359,100,358.0,153.92,130.0,59.20653,89.0,210,2.1,153.92,100,87.43,67.0,67,105.56448,3.06,1.06,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
10000,513,100,512.0,167.11,130.0,77.876175,100.0,272,2.72,167.11,100,115.85,67.0,67,230.82251,3.08,1.08,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
11000,869,100,868.0,209.57,178.0,127.39972,92.0,414,4.14,209.57,100,82.45,67.0,67,88.09893,3.03,1.03,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
12000,530,100,529.0,189.91,160.0,92.40391,108.0,348,3.48,189.91,100,82.92,67.0,67,92.75855,3.04,1.04,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
13000,818,100,817.0,181.76,160.0,111.32325,62.0,308,3.08,181.76,100,71.81,67.0,67,45.10474,3.02,1.02,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
14000,1000,100,1076.0,317.5,208.0,234.65608,354.0,861,8.61,316.74,100,74.88,67.0,67,49.769722,3.04,1.04,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
15000,956,100,955.0,281.15,189.0,213.55396,276.0,720,7.2,281.15,100,84.88,67.0,67,103.021645,3.03,1.03,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
16000,1000,100,1053.0,306.12,256.5,201.43176,322.0,744,7.44,305.59,100,85.13,67.0,67,89.989494,3.08,1.08,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
17000,1000,100,1097.0,230.93,168.0,161.75018,174.0,558,5.58,229.96,100,86.51,67.0,67,90.82149,3.05,1.05,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
18000,1000,100,1047.0,295.22,168.5,233.28474,331.0,825,8.25,294.75,100,81.8,67.0,67,84.067375,3.05,1.05,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
19000,1000,100,1068.0,292.56,207.5,235.77087,226.0,804,8.04,291.23,100,109.46,67.0,67,149.34317,3.08,1.08,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
20000,1000,100,1083.0,335.38,300.5,212.27959,280.0,879,8.79,334.55,100,75.87,67.0,67,45.00127,3.04,1.04,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
21000,1000,100,1093.0,352.41,236.0,258.18277,360.0,951,9.51,350.41,100,101.99,67.0,67,131.40175,3.08,1.08,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
22000,1000,100,1084.0,286.83,206.0,203.98668,210.0,693,6.93,285.7,100,88.06,67.0,67,118.92131,3.03,1.03,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
23000,1000,100,1076.0,344.4,314.5,208.42915,301.0,929,9.29,343.35,100,79.88,67.0,67,72.55597,3.05,1.05,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
24000,1000,100,1052.0,314.91,267.0,226.86363,289.0,794,7.94,314.39,100,114.42,67.0,67,142.68794,3.13,1.13,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
25000,1000,100,1061.0,343.21,257.0,236.53278,292.0,939,9.39,342.06,100,78.19,67.0,67,62.56401,3.03,1.03,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
26000,1000,100,1066.0,326.88,277.5,215.60864,328.0,864,8.64,325.68,100,80.92,67.0,67,80.65392,3.03,1.03,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
27000,1000,100,1075.0,252.63,182.5,184.75166,172.0,564,5.64,251.31,100,81.58,67.0,67,99.735695,3.03,1.03,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
28000,1000,100,1057.0,247.65,178.5,192.35481,150.0,568,5.68,247.08,100,79.41,67.0,67,68.291725,3.04,1.04,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
29000,1000,100,1060.0,282.61,184.5,208.66862,279.0,780,7.8,282.01,100,85.14,67.0,67,87.76675,3.07,1.07,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
30000,1000,100,1011.0,282.08,191.0,227.4309,233.0,746,7.46,281.97,100,68.84,67.0,67,17.231777,3.02,1.02,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
31000,953,100,952.0,230.54,179.0,171.15952,123.0,545,5.45,230.54,100,82.56,67.0,67,83.49474,3.04,1.04,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
32000,1000,100,1055.0,297.78,236.5,197.44511,262.0,771,7.71,296.87,100,80.37,67.0,67,78.47809,3.04,1.04,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
33000,1000,100,1092.0,236.11,158.0,193.63475,154.0,560,5.6,234.53,100,100.25,67.0,67,130.52542,3.08,1.08,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
34000,1000,100,1088.0,274.53,176.5,217.77802,240.0,658,6.58,272.93,100,91.34,67.0,67,111.19546,3.05,1.05,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
35000,1000,100,1073.0,254.38,188.0,190.34842,150.0,583,5.83,252.93,100,83.1,67.0,67,80.49827,3.04,1.04,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
36000,965,100,964.0,289.15,182.5,217.62198,252.0,702,7.02,289.15,100,78.43,67.0,67,73.692604,3.03,1.03,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
37000,1000,100,1029.0,320.95,242.5,237.72746,328.0,796,7.96,320.66,100,75.53,67.0,67,70.77124,3.02,1.02,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
38000,1000,100,1061.0,270.23,220.0,180.95363,167.0,663,6.63,269.62,100,87.04,67.0,67,83.333,3.06,1.06,0.1,0.2,,Roulette,,2,1770989741-2,519953c9dc2e2529,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
