generation,steps_per_gen,population_size,fitness_best,fitness_mean,fitness_median,fitness_std,fitness_iqr,food_eaten_total,food_eaten_mean,survival_steps_mean,reproductions_total,params_mean,params_median,params_best,params_std,layers_mean,hidden_mean,mutation_rate,mutation_sigma,crossover_rate,selection_mode,tournament_k,seed,run_id,config_hash,git_commit
0,191,100,190.0,113.83,100.0,19.218252,27.0,80,0.8,113.83,100,76.0,76.0,76,0.0,3.0,1.0,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
1000,263,100,262.0,129.78,115.5,35.72971,60.0,120,1.2,129.78,100,188.66,76.0,76,201.90167,3.27,1.27,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
2000,293,100,292.0,133.05,130.0,36.2407,60.0,135,1.35,133.05,100,89.56,76.0,76,83.35807,3.05,1.05,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
3000,281,100,280.0,133.17,130.0,38.935867,60.0,142,1.42,133.17,100,89.11,76.0,76,81.00457,3.03,1.03,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
4000,526,100,525.0,153.51,130.0,62.624027,90.0,207,2.07,153.51,100,94.5,76.0,76,87.33985,3.07,1.07,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
5000,431,100,430.0,160.04,134.0,63.77538,73.0,236,2.36,160.04,100,94.91,76.0,76,98.70695,3.05,1.05,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
6000,382,100,381.0,162.46,140.0,63.850048,74.0,243,2.43,162.46,100,91.54,76.0,76,93.239555,3.03,1.03,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
7000,748,100,747.0,171.99,130.0,112.07483,86.0,273,2.73,171.99,100,107.31,76.0,76,134.4419,3.08,1.08,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
8000,682,100,681.0,181.28,130.0,110.49753,126.0,306,3.06,181.28,100,88.25,76.0,76,81.70782,3.04,1.04,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
9000,521,100,520.0,160.1,130.0,89.18995,61.0,229,2.29,160.1,100,102.18,76.0,76,115.929985,3.06,1.06,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
10000,508,100,507.0,172.49,160.0,70.91086,67.0,288,2.88,172.49,100,85.89,76.0,76,56.892513,3.04,1.04,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
11000,575,100,574.0,173.03,138.0,96.404495,73.0,279,2.79,173.03,100,94.94,76.0,76,94.3477,3.05,1.05,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
12000,480,100,479.0,170.14,130.0,89.6481,75.0,281,2.81,170.14,100,95.81,76.0,76,110.656975,3.03,1.03,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
13000,577,100,576.0,183.82,156.0,100.939835,112.0,311,3.11,183.82,100,83.43,76.0,76,76.08844,3.01,1.01,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
14000,634,100,633.0,159.19,130.0,79.39591,88.0,242,2.42,159.19,100,107.01,76.0,76,128.15636,3.07,1.07,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
15000,379,100,378.0,156.81,130.5,63.154686,80.0,221,2.21,156.81,100,78.83,76.0,76,25.968458,3.02,1.02,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
16000,567,100,566.0,175.83,156.0,87.26374,96.0,298,2.98,175.83,100,95.55,76.0,76,90.862526,3.06,1.06,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
17000,539,100,538.0,169.78,139.5,75.36783,60.0,278,2.78,169.78,100,104.48,76.0,76,114.84799,3.07,1.07,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
18000,526,100,525.0,180.22,144.0,87.80144,127.0,325,3.25,180.22,100,94.76,76.0,76,86.798515,3.08,1.08,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
19000,756,100,755.0,210.86,176.5,119.378075,124.0,422,4.22,210.86,100,81.72,76.0,76,52.689297,3.01,1.01,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
20000,518,100,517.0,193.54,160.0,87.99835,103.0,377,3.77,193.54,100,91.63,76.0,76,86.858505,3.04,1.04,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
21000,1000,100,1060.0,199.42,160.0,129.69466,118.0,399,3.99,198.82,100,97.62,76.0,76,102.04371,3.06,1.06,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
22000,638,100,637.0,201.01,157.5,110.95869,135.0,430,4.3,201.01,100,90.27,76.0,76,80.87877,3.04,1.04,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
23000,712,100,711.0,175.92,158.0,93.09454,70.0,302,3.02,175.92,100,99.04,76.0,76,105.04838,3.05,1.05,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
24000,550,100,549.0,187.19,139.5,105.26745,95.0,350,3.5,187.19,100,114.03,76.0,76,142.8359,3.08,1.08,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
25000,988,100,987.0,230.34,164.0,148.9087,180.0,524,5.24,230.34,100,89.02,76.0,76,77.47526,3.04,1.04,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
26000,756,100,755.0,196.06,138.0,139.0921,113.0,369,3.69,196.06,100,100.93,76.0,76,111.61838,3.08,1.08,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
27000,670,100,669.0,221.99,154.0,142.06616,152.0,518,5.18,221.99,100,85.2,76.0,76,65.675026,3.02,1.02,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
28000,1000,100,1078.0,255.47,175.0,196.2278,178.0,662,6.62,254.05,100,103.45,76.0,76,129.5206,3.05,1.05,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
29000,991,100,990.0,235.79,165.5,187.21822,138.0,596,5.96,235.79,100,130.17,76.0,76,179.88399,3.1,1.1,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
30000,883,100,882.0,248.08,201.5,155.15382,180.0,651,6.51,248.08,100,81.0,76.0,76,37.674393,3.02,1.02,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
31000,748,100,747.0,195.32,160.0,113.5232,104.0,410,4.1,195.32,100,95.1,76.0,76,110.89611,3.04,1.04,0.1,0.2,,Roulette,,50,1770935463-50,295d35b545626ef5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
