generation,steps_per_gen,population_size,fitness_best,fitness_mean,fitness_median,fitness_std,fitness_iqr,food_eaten_total,food_eaten_mean,survival_steps_mean,reproductions_total,params_mean,params_median,params_best,params_std,layers_mean,hidden_mean,mutation_rate,mutation_sigma,crossover_rate,selection_mode,tournament_k,seed,run_id,config_hash,git_commit
0,149,100,148.0,109.22,100.0,14.081607,22.0,55,0.55,109.22,100,76.0,76.0,76,0.0,3.0,1.0,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
1000,452,100,451.0,159.88,153.0,61.168167,66.0,244,2.44,159.88,100,904.31,876.0,876,376.91562,3.99,1.99,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
2000,402,100,401.0,165.81,140.0,68.63027,102.0,263,2.63,165.81,100,910.77,876.0,876,360.3846,4.02,2.02,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
3000,389,100,388.0,169.5,145.0,67.56797,84.0,299,2.99,169.5,100,990.71,876.0,876,505.043,4.04,2.04,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
4000,429,100,428.0,179.69,160.0,72.812325,87.0,350,3.5,179.69,100,887.63,876.0,876,148.41734,4.0,2.0,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
5000,625,100,624.0,196.39,160.0,101.600586,113.0,390,3.9,196.39,100,940.78,876.0,876,616.41376,3.99,1.99,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
6000,497,100,496.0,191.77,160.0,98.5581,122.0,345,3.45,191.77,100,920.58,876.0,876,554.1826,3.99,1.99,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
7000,729,100,728.0,184.41,162.5,86.761185,81.0,324,3.24,184.41,100,865.27,876.0,876,259.5382,3.95,1.95,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
8000,981,100,980.0,264.69,206.5,180.46997,197.0,638,6.38,264.69,100,899.13,876.0,876,362.26944,3.99,1.99,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
9000,870,100,869.0,211.46,183.5,111.17566,119.0,452,4.52,211.46,100,939.18,876.0,876,476.4906,4.02,2.02,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
10000,752,100,751.0,214.41,176.5,119.24521,127.0,473,4.73,214.41,100,866.48,876.0,876,322.69128,3.96,1.96,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
11000,690,100,689.0,206.91,165.5,123.11538,103.0,408,4.08,206.91,100,851.05,876.0,876,141.33543,3.97,1.97,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
12000,714,100,713.0,202.06,160.0,120.02557,108.0,413,4.13,202.06,100,920.04,876.0,876,460.44403,4.02,2.02,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
13000,499,100,498.0,186.88,160.0,92.10919,81.0,343,3.43,186.88,100,888.83,876.0,876,303.23154,3.98,1.98,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
14000,627,100,626.0,214.53,161.5,118.70834,154.0,450,4.5,214.53,100,893.15,876.0,876,284.6743,4.0,2.0,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
15000,547,100,546.0,186.61,159.0,100.355064,114.0,399,3.99,186.61,100,910.03,876.0,876,438.04156,3.98,1.98,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
16000,542,100,541.0,155.29,130.0,75.0499,50.0,272,2.72,155.29,100,911.16,876.0,876,416.65207,3.99,1.99,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
17000,499,100,498.0,174.34,160.0,73.02099,90.0,314,3.14,174.34,100,898.37,876.0,876,296.79022,3.98,1.98,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
18000,629,100,628.0,167.65,130.0,100.57894,96.0,277,2.77,167.65,100,903.51,876.0,876,451.27234,3.98,1.98,0.1,0.2,,Roulette,,42,1770989744-42,73fd90e525ab18a3,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
